*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=kbd_projekt_no_encoder
*Date=20:32:47
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
114;;sma-diode-kit;76.6041;-18.5268;180;Top;D11
115;;;95.7759;-65.8426;0;Bottom;MX3
116;;;57.6759;-65.8426;0;Bottom;MX1
117;;sma-diode-kit;76.6041;-75.6768;180;Top;D2
118;;;10.8818;-76.3541;0;Bottom;TXT7
119;;;87.5579;-69.9593;0;Bottom;Via33
120;;;10.0584;-73.7246;0;Bottom;TXT7
121;;;30.3955;-47.7213;0;Bottom;Via64
122;;;10.4332;-22.3819;0;Bottom;TXT7
123;;;30.3955;-62.9822;0;Bottom;Via76
124;;;40.3233;-13.9714;0;Bottom;TXT6
125;;usb-microb;22.7542;-81.2374;180;Top;µUSB
126;;sma-diode-kit;76.6041;-56.6268;180;Top;D5
127;;;76.7259;-65.8426;0;Bottom;MX2
128;;;21.499;-52.1819;0;Bottom;Via25
129;;;13.8977;-57.896;0;Bottom;Via70
130;;;15.7725;-57.896;0;Bottom;Via69
131;;;10.6912;-27.9103;0;Bottom;TXT7
132;;;2.44921;-2.65168;0;Bottom;Hole2
133;;;15.7725;-48.3589;0;Bottom;Via65
134;;;68.4622;-31.8644;0;Bottom;Via42
